Uplift ID,Fault IDs,Reason for uplift,Reason for failure,Evaluation of risks
1182411,1284939^1222662^1257759,,,
1092833,1293258,,,
1206977,1289378,,,
1207378,1224200,,,
1179662,1185176^1179662,,,
1217168,1241060,,,
1146201,1288976^1268984^1278198^1207439,,,
1051633,1172467,,,
1213567,1240607,,,
1263951,1268714,,,
1258768,1265282^1270075,,,
1211335,1242465,,,
1225003,1230692,,,
1204922,1239861,,,
1128357,1284875,,,
1077084,1228640,,,
1088043,1269365,,,
1179110,1269408,,,
1243607,1244913,,,
1133866,1144432,,,
1199224,1224994,,,
1268740,1288985,,,
1081686,1089328^1139297^1105194,,,
1223512,1258236,,,
1276732,1278403,,,
1143194,1149510,,,
1166924,1169867,,,
1142433,1254731,,,
1175104,1179051,,,
1131638,1161416^1145101^1143575,,,
1145631,1191936^1148033^1247835^1268822^1270023^1165833^1246091^1219469^1270161^1244995^1265045^1164567^1152921^1155547^1169440^1152051^1269539^1180070^1172785^1271848^1188265^1168042^1179051^1251272^1174450^1221043^1203766^1147193^1179935^1284030^1227327^1215115^1248197^1167816^1184333^1248851^1160321^1245241^1251163^1249503^1213154^1202788^1207270^1212904^1157546^1162861^1251697^1224659^1234548^1147894^1167608^1190252^1166847^1278205^1153023,,,
1119774,1144899^1292505^1228314^1285867,,,
1199518,1261900,,,
1097437,1123019,,,
1125970,1154194^1168531^1155268^1145101^1154782,,,
1118322,1147728^1204922,,,
1181352,,,,
1261869,,,,
1233666,,,,
1276117,,,,
1118689,,,,
1278041,,,,
1285465,,,,
1159659,,,,
1269321,,,,
1270154,,,,
1182308,,,,
1167756,,,,
1162364,,,,
1217275,,,,
1254856,,,,
1274837,,,,
1105137,,,,
1224200,,,,
1069559,,,,
1190252,,,,
1148859,,,,
1240559,,,,
1088467,,,,
1112761,,,,
1201832,,,,
1263154,,,,
1220322,,,,
1121841,,,,
1182551,,,,
1077718,,,,
1261192,,,,
1255336,,,,
1182287,,,,
1294171,,,,
1279494,,,,
1102297,,,,
1240208,,,,
1122942,,,,
1233845,,,,
1175881,,,,
1271527,,,,
1191298,,,,
1048984,,,,
1106079,,,,
1189744,,,,
1131563,,,,
1185392,,,,
1206424,,,,
1061976,,,,
1074009,,,,
1045739,,,,
1195590,,,,
1271049,,,,
1127641,,,,
1207864,,,,
1181890,,,,
1258257,,,,
1267419,,,,
1236481,,,,
1105729,,,,
1216697,,,,
1086527,,,,
1164594,,,,
1237848,,,,
1167782,,,,
1044077,,,,
1275739,,,,
1203184,,,,
1216096,,,,
1260071,,,,
1111319,,,,
1083629,,,,
1080688,,,,
1221249,,,,
1202331,,,,
1133633,,,,
1243507,,,,
1062490,,,,
1181562,,,,
1242449,,,,
1150539,,,,
1279440,,,,
1155438,,,,
1179972,,,,
1233780,,,,
1152047,,,,
1104964,,,,
1045217,,,,
1129224,,,,
1125804,,,,
1196237,,,,
1109987,,,,
1271160,,,,
1159410,,,,
1178984,,,,
1193541,,,,
1191813,,,,
1149842,,,,
1111960,,,,
1187566,,,,
1264497,,,,
1062479,,,,
1223465,,,,
1265237,,,,
1282334,,,,
1143085,,,,
1101416,,,,
1228754,,,,
1127646,,,,
1183375,,,,
1106602,,,,
1191520,,,,
1139270,,,,
1255576,,,,
1166559,,,,
1142140,,,,
1278013,,,,
1245447,,,,
1192159,,,,
1149649,,,,
1235118,,,,
1187268,,,,
1185960,,,,
1291306,,,,
1261776,,,,
1250085,,,,
1286482,,,,
1272652,,,,
1247554,,,,
1257053,,,,
1096430,,,,
1208141,,,,
1208799,,,,
1267557,,,,
1248303,,,,
1071217,,,,
1201498,,,,
1263887,,,,
1290469,,,,
1179560,,,,
1246311,,,,
1103692,,,,
1246014,,,,
1256517,,,,
1083098,,,,
1096078,,,,
1269055,,,,
1274132,,,,
1243594,,,,
1065998,,,,
1073910,,,,
1293106,,,,
1276530,,,,
1167888,,,,
1132427,,,,
1080995,,,,
1246850,,,,
1070022,,,,
1087182,,,,
1120149,,,,
1265715,,,,
1196437,,,,
1125261,,,,
1234385,,,,
1284240,,,,
1279224,,,,
1141642,,,,
1078163,,,,
1289634,,,,
1249888,,,,
1060398,,,,
1086842,,,,
1096763,,,,
1199805,,,,
1136576,,,,
1276013,,,,
1256468,,,,
1174064,,,,
1233557,,,,
1163583,,,,
1123974,,,,
1069658,,,,
1238935,,,,
1216832,,,,
1148832,,,,
1129818,,,,
1120421,,,,
1258922,,,,
1198286,,,,
1116010,,,,
1222291,,,,
1280110,,,,
1097253,,,,
1274637,,,,
1111947,,,,
1060621,,,,
1048011,,,,
1260377,,,,
1083241,,,,
1157963,,,,
1197985,,,,
1190316,,,,
1123507,,,,
1073240,,,,
1085298,,,,
1069300,,,,
1138240,,,,
1062801,,,,
1120395,,,,
1154923,,,,
1164135,,,,
1294448,,,,
1258632,,,,
1244505,,,,
1059591,,,,
1206469,,,,
1193830,,,,
1221881,,,,
1243881,,,,
1264651,,,,
1125621,,,,
1121340,,,,
1255618,,,,
1271714,,,,
1184942,,,,
1064776,,,,
1204809,,,,
1285174,,,,
1241294,,,,
1263572,,,,
1280043,,,,
1249351,,,,
1045229,,,,
1164649,,,,
1198674,,,,
1136360,,,,
1276717,,,,
1245450,,,,
1083611,,,,
1240892,,,,
1262936,,,,
1163559,,,,
1237582,,,,
1165885,,,,
1252329,,,,
1208234,,,,
1221279,,,,
1285318,,,,
1149510,,,,
1218952,,,,
1046578,,,,
1222819,,,,
1266380,,,,
1111834,,,,
1182610,,,,
1251742,,,,
1062355,,,,
1166183,,,,
1262427,,,,
1202696,,,,
1179484,,,,
1255773,,,,
1283036,,,,
1256992,,,,
1234355,,,,
1068881,,,,
1141026,,,,
1188613,,,,
1123062,,,,
1247574,,,,
1190210,,,,
1182933,,,,
1120420,,,,
1141376,,,,
1214287,,,,
1175306,,,,
1268849,,,,
1252707,,,,
1271003,,,,
1246622,,,,
1194335,,,,
1106559,,,,
1219339,,,,
1100721,,,,
1193806,,,,
1163384,,,,
1070755,,,,
1135655,,,,
1063046,,,,
1205937,,,,
1246388,,,,
1255054,,,,
1095420,,,,
1061947,,,,
1228314,,,,
1112565,,,,
1196104,,,,
1160280,,,,
1279146,,,,
1189122,,,,
1190238,,,,
1265977,,,,
1233668,,,,
1271601,,,,
1130450,,,,
1147207,,,,
1249377,,,,
1159366,,,,
1281040,,,,
1069673,,,,
1105523,,,,
1172716,,,,
1248301,,,,
1230740,,,,
1181130,,,,
1255139,,,,
1256626,,,,
1209843,,,,
1145255,,,,
1210439,,,,
1089670,,,,
1220699,,,,
1096795,,,,
1155432,,,,
1204580,,,,
1238031,,,,
1177634,,,,
1104037,,,,
1249098,,,,
1096787,,,,
1111828,,,,
1262332,,,,
1109120,,,,
1255605,,,,
1280105,,,,
1108998,,,,
1099085,,,,
1208977,,,,
1222097,,,,
1219230,,,,
1151351,,,,
1161317,,,,
1172498,,,,
1282584,,,,
1234147,,,,
1261880,,,,
1173734,,,,
1129356,,,,
1258410,,,,
1148375,,,,
